"","Date","country","cases","year"
"469",2003-12-28,"Bolivia",319,2003
"470",2003-12-28,"Brazil",155,2003
"471",2003-12-28,"Canada",4950,2003
"472",2003-12-28,"Chile",1,2003
"473",2003-12-28,"France",154,2003
"474",2003-12-28,"Germany",1124,2003
"475",2003-12-28,"Japan",118,2003
"476",2003-12-28,"Mexico",1264,2003
"477",2003-12-28,"Netherlands",102,2003
"478",2003-12-28,"Peru",257,2003
"479",2003-12-28,"Romania",1142,2003
"480",2003-12-28,"Spain",33,2003
"481",2003-12-28,"Switzerland",504,2003
"482",2003-12-28,"United States",5250,2003
"483",2003-12-28,"Uruguay",126,2003
"484",2004-01-04,"Argentina",98,2004
"485",2004-01-04,"Austria",880,2004
"486",2004-01-04,"Belgium",119,2004
"487",2004-01-04,"Bolivia",311,2004
"488",2004-01-04,"Brazil",153,2004
"489",2004-01-04,"Canada",3649,2004
"490",2004-01-04,"Chile",1,2004
"491",2004-01-04,"France",71,2004
"492",2004-01-04,"Germany",1291,2004
"493",2004-01-04,"Japan",171,2004
"494",2004-01-04,"Mexico",1108,2004
"495",2004-01-04,"Netherlands",58,2004
"496",2004-01-04,"Peru",275,2004
"497",2004-01-04,"Romania",932,2004
"498",2004-01-04,"Spain",46,2004
"499",2004-01-04,"Switzerland",354,2004
"500",2004-01-04,"United States",3154,2004
"501",2004-01-04,"Uruguay",127,2004
"502",2004-01-11,"Argentina",98,2004
"503",2004-01-11,"Austria",800,2004
"504",2004-01-11,"Belgium",68,2004
"505",2004-01-11,"Bolivia",322,2004
"506",2004-01-11,"Brazil",154,2004
"507",2004-01-11,"Canada",2866,2004
"508",2004-01-11,"Chile",1,2004
"509",2004-01-11,"France",44,2004
"510",2004-01-11,"Germany",1190,2004
"511",2004-01-11,"Japan",279,2004
"512",2004-01-11,"Mexico",1026,2004
"513",2004-01-11,"Netherlands",28,2004
"514",2004-01-11,"Peru",266,2004
"515",2004-01-11,"Romania",818,2004
"516",2004-01-11,"Spain",23,2004
"517",2004-01-11,"Switzerland",252,2004
"518",2004-01-11,"United States",2057,2004
"519",2004-01-11,"Uruguay",122,2004
"520",2004-01-18,"Argentina",98,2004
"521",2004-01-18,"Austria",973,2004
"522",2004-01-18,"Belgium",93,2004
"523",2004-01-18,"Bolivia",343,2004
"524",2004-01-18,"Brazil",152,2004
"525",2004-01-18,"Canada",2230,2004
"526",2004-01-18,"Chile",1,2004
